Time	Open	High	Low	Close	Volume
2024.10.15 22:30	1.08875	1.08878	1.08849	1.08859	1074
2024.10.15 23:00	1.08859	1.08884	1.08856	1.08861	408
2024.10.15 23:30	1.08861	1.08914	1.0884800000000001	1.08908	415
2024.10.16 00:00	1.0885	1.08913	1.0884800000000001	1.08913	33
2024.10.16 00:30	1.08913	1.08915	1.0890900000000001	1.08914	24
2024.10.16 01:00	1.08921	1.08921	1.08876	1.0889199999999999	248
2024.10.16 01:30	1.0889199999999999	1.08893	1.08868	1.08887	212
2024.10.16 02:00	1.08887	1.0889199999999999	1.08855	1.08867	334
2024.10.16 02:30	1.08867	1.08877	1.08821	1.08822	489
2024.10.16 03:00	1.08822	1.08841	1.08811	1.08822	884
2024.10.16 03:30	1.08822	1.08857	1.08822	1.08844	730
2024.10.16 04:00	1.08843	1.08867	1.08833	1.08863	854
2024.10.16 04:30	1.08864	1.0891	1.08855	1.08908	1338
2024.10.16 05:00	1.0890900000000001	1.0892	1.08876	1.08887	817
2024.10.16 05:30	1.08888	1.08923	1.08881	1.08917	607
2024.10.16 06:00	1.08918	1.08947	1.08915	1.08933	706
2024.10.16 06:30	1.08933	1.08936	1.08897	1.08899	461
2024.10.16 07:00	1.08899	1.08921	1.08887	1.08895	336
2024.10.16 07:30	1.08896	1.08898	1.08867	1.08884	295
2024.10.16 08:00	1.08884	1.08889	1.0886	1.08877	429
2024.10.16 08:30	1.08877	1.0889199999999999	1.08855	1.08869	612
2024.10.16 09:00	1.08875	1.08883	1.08772	1.08802	2380
2024.10.16 09:30	1.08802	1.08806	1.08752	1.08767	1845
2024.10.16 10:00	1.08766	1.08836	1.08743	1.08821	1821
2024.10.16 10:30	1.08822	1.08844	1.08771	1.08812	1513
2024.10.16 11:00	1.08811	1.08835	1.08773	1.08801	1427
2024.10.16 11:30	1.088	1.08826	1.08768	1.08822	1367
2024.10.16 12:00	1.08823	1.08961	1.08816	1.08945	1673
2024.10.16 12:30	1.08946	1.08962	1.08914	1.08937	1254
2024.10.16 13:00	1.08938	1.08944	1.08899	1.08931	1086
2024.10.16 13:30	1.08932	1.0894	1.08885	1.08891	803
2024.10.16 14:00	1.08889	1.08923	1.08858	1.08899	1090
2024.10.16 14:30	1.08901	1.08947	1.08901	1.08934	1176
2024.10.16 15:00	1.08934	1.09005	1.0892	1.08971	1274
2024.10.16 15:30	1.08971	1.08986	1.08854	1.08878	1741
2024.10.16 16:00	1.08881	1.08965	1.08841	1.08915	1841
2024.10.16 16:30	1.08912	1.08934	1.08853	1.08891	2189
2024.10.16 17:00	1.08893	1.08898	1.08712	1.08745	1797
2024.10.16 17:30	1.08745	1.08805	1.08704	1.0878700000000001	2264
2024.10.16 18:00	1.08788	1.08791	1.08725	1.0873	1675
2024.10.16 18:30	1.0873	1.08744	1.08652	1.08713	1342
2024.10.16 19:00	1.08713	1.08757	1.08701	1.08721	864
2024.10.16 19:30	1.08721	1.08721	1.0866	1.08672	791
2024.10.16 20:00	1.08673	1.08674	1.08621	1.08624	819
2024.10.16 20:30	1.08624	1.08628	1.08605	1.08612	738
2024.10.16 21:00	1.08612	1.08619	1.08565	1.08577	868
2024.10.16 21:30	1.08578	1.08584	1.0854300000000001	1.08548	858
2024.10.16 22:00	1.08548	1.08556	1.08523	1.0854	683
2024.10.16 22:30	1.08539	1.08592	1.08539	1.08568	729
2024.10.16 23:00	1.08566	1.08585	1.08563	1.08582	365
2024.10.16 23:30	1.08581	1.08617	1.08573	1.08609	450
2024.10.17 00:00	1.08607	1.08686	1.08556	1.0860400000000001	219
2024.10.17 00:30	1.0860400000000001	1.0862	1.0860400000000001	1.08618	391
2024.10.17 01:00	1.08624	1.08638	1.08596	1.08597	304
2024.10.17 01:30	1.08598	1.08601	1.08565	1.08576	214
2024.10.17 02:00	1.08577	1.08578	1.08552	1.08575	353
2024.10.17 02:30	1.08573	1.08585	1.08564	1.08578	317
2024.10.17 03:00	1.08578	1.08613	1.08568	1.08609	638
2024.10.17 03:30	1.08617	1.08633	1.08592	1.08621	1222
2024.10.17 04:00	1.08622	1.08622	1.0858	1.08595	840
2024.10.17 04:30	1.08595	1.08628	1.08585	1.08615	972
2024.10.17 05:00	1.08616	1.08641	1.08586	1.08597	866
2024.10.17 05:30	1.08599	1.08611	1.08581	1.08609	895
2024.10.17 06:00	1.08607	1.0861	1.08527	1.08529	618
2024.10.17 06:30	1.08529	1.08532	1.08502	1.08519	407
2024.10.17 07:00	1.08519	1.08545	1.08513	1.08544	364
2024.10.17 07:30	1.0854300000000001	1.08546	1.08522	1.08523	380
2024.10.17 08:00	1.08523	1.08545	1.08515	1.08533	593
2024.10.17 08:30	1.08533	1.08535	1.08515	1.08534	609
2024.10.17 09:00	1.0853	1.0853	1.08504	1.08523	923
2024.10.17 09:30	1.08524	1.08573	1.08488	1.08496	1096
2024.10.17 10:00	1.08495	1.08537	1.0848	1.08526	1511
2024.10.17 10:30	1.08526	1.08565	1.08494	1.08537	1234
2024.10.17 11:00	1.08536	1.08558	1.08512	1.08542	1217
2024.10.17 11:30	1.08541	1.08541	1.0848	1.08507	1006
2024.10.17 12:00	1.08507	1.08542	1.08493	1.08514	991
2024.10.17 12:30	1.08514	1.08631	1.0851	1.08577	1123
2024.10.17 13:00	1.08578	1.08622	1.08571	1.08602	1046
2024.10.17 13:30	1.08603	1.08639	1.08592	1.08631	1054
2024.10.17 14:00	1.08632	1.08663	1.08631	1.08656	999
2024.10.17 14:30	1.08654	1.08663	1.0862	1.08623	1011
2024.10.17 15:00	1.08622	1.08727	1.0859	1.08641	2219
2024.10.17 15:30	1.08642	1.08643	1.08325	1.08418	4333
2024.10.17 16:00	1.08419	1.08437	1.081	1.0813	3852
2024.10.17 16:30	1.08129	1.08348	1.08111	1.08321	2986
2024.10.17 17:00	1.08321	1.08341	1.0817	1.08197	2958
